,gml_id,quelle_daten,idnr,dgpkey,benennung,belegenheit,belegenheit_detail,gesamtanlagennummer,gesamtanlage,nutz_code,nutzung,bezirk,stadtteil,ortsteil,gemarkung,veroeffentl_amtlicher_anzeiger,herrichtung,verwaltungsvermoegen,aktualitaet,flaeche_ha,stand,geometry
830,DE.HH.UP_KLEINGARTENANLAGEN_824,"BUKEA, GEODATENSERVER (ArcSDE)",002792,31865015,350 Gartenverein Rahweg,Rahweg,Rahweg,0,,65,Grün an Kleingärten,Eimsbüttel,Niendorf,318,307,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.0,2021-02-16,"MULTIPOLYGON (((564277.927 5942994.682, 564253.797 5942954.827, 564251.3199999999 5942955.806, 564261.488 5942973.228, 564275.03 5942996.43, 564276.382 5942995.613, 564277.927 5942994.682)))"
831,DE.HH.UP_KLEINGARTENANLAGEN_825,"BUKEA, GEODATENSERVER (ArcSDE)",003563,40760620,409 Kleingartenbauverein Birkenhain,Rathenaubrücke,Rathenaubrücke,0,,60,Dauerkleingarten,Hamburg-Nord,Alsterdorf,407,424,,,Allgemeines Grundvermögen ohne Erbbaurecht,05.01.2021,2.6,2021-02-16,"MULTIPOLYGON (((566015.917 5940410.071, 566005.774 5940416.391, 565998.284 5940421.454, 565990.532 5940427.113, 565983.05 5940432.984, 565957.556 5940453.669, 565957.191 5940457.364, 565961.243 5940465.295, 565965.09 5940470.461, 565969.792 5940474.79, 565973.963 5940481.788, 565980.178 5940493.281, 565993.008 5940513.356, 566000.721 5940525.197, 566006.852 5940533.656, 566021.005 5940549.821, 566038.459 5940534.474, 566042.317 5940533.092, 566052.975 5940533.226, 566054.22 5940533.398, 566055.428 5940533.74, 566056.578 5940534.247, 566057.6459999999 5940534.909, 566069.37 5940548.822, 566070.21 5940548.113, 566073.164 5940551.603, 566071.911 5940552.751, 566092 5940574.685, 566112.4 5940598.612, 566113.778 5940603.094, 566113.269 5940615.15, 566092.9449999999 5940632.785, 566101.836 5940643.567, 566114.294 5940657.595, 566124.704 5940669.144, 566139.724 5940684.229, 566168.126 5940710.983, 566194.8909999999 5940732.816, 566217.077 5940745.892, 566226.001 5940750.139, 566231.911 5940752.774, 566235.321 5940755.091, 566238.047 5940757.53, 566285.426 5940706.798, 566265.584 5940688.27, 566246.3050000001 5940674.678, 566227.444 5940660.513, 566209.0159999999 5940645.788, 566191.039 5940630.516, 566173.529 5940614.711, 566156.502 5940598.388, 566139.972 5940581.56, 566123.955 5940564.243, 566108.466 5940546.453, 566093.518 5940528.206, 566079.125 5940509.518, 566065.299 5940490.407, 566052.054 5940470.888, 566039.401 5940450.981, 566027.352 5940430.702, 566015.917 5940410.071)))"
832,DE.HH.UP_KLEINGARTENANLAGEN_826,"BUKEA, GEODATENSERVER (ArcSDE)",003564,40761621,448 Gartenbauverein Alsterblick,Rathenaustraße,Rathenaustraße,0,,61,Kleingarten,Hamburg-Nord,Alsterdorf,407,424,,,Allgemeines Grundvermögen ohne Erbbaurecht,05.01.2021,2.4,2021-02-16,"MULTIPOLYGON (((566727.355 5940772.13, 566715.241 5940770.188, 566703.067 5940768.66, 566690.849 5940767.548, 566442.52 5940749.26, 566425.561 5940747.693, 566408.671 5940745.505, 566391.873 5940742.701, 566375.188 5940739.283, 566358.64 5940735.256, 566347.863 5940732.128, 566337.258 5940728.463, 566326.849 5940724.271, 566316.664 5940719.561, 566277.526 5940773.501, 566291.407 5940784.767, 566298.954 5940788.714, 566327.099 5940798.724, 566355.852 5940806.77, 566374.588 5940810.798, 566393.397 5940814.469, 566419.654 5940817.443, 566436.333 5940818.952, 566459.942 5940819.74, 566499.3100000001 5940819.648, 566518.222 5940817.354, 566550.307 5940812.703, 566550.5550000001 5940814.409, 566557.463 5940813.774, 566575.4939999999 5940810.901, 566575.276 5940809.064, 566598.051 5940806.359, 566614.23 5940803.6, 566687.316 5940793.209, 566709.574 5940790.713, 566718.862 5940788.368, 566727.355 5940772.13)))"
833,DE.HH.UP_KLEINGARTENANLAGEN_827,"BUKEA, GEODATENSERVER (ArcSDE)",003565,40760624,409 Kleingartenbauverein Birkenhain,Bebelallee,Bebelallee,0,,60,Dauerkleingarten,Hamburg-Nord,Alsterdorf,407,0,,,Allgemeines Grundvermögen ohne Erbbaurecht,05.01.2021,0.1,2021-02-16,"MULTIPOLYGON (((565880.98 5940121.699, 565880.4399999999 5940066.506, 565874.11 5940067.572, 565868.526 5940075.254, 565863.541 5940083.338, 565859.184 5940091.777, 565855.48 5940100.522, 565852.452 5940109.524, 565850.115 5940118.729, 565849.437 5940122.822, 565849.138 5940126.96, 565849.221 5940131.108, 565849.617 5940139.47, 565880.98 5940121.699)))"
834,DE.HH.UP_KLEINGARTENANLAGEN_828,"BUKEA, GEODATENSERVER (ArcSDE)",003566,40760624,409 Kleingartenbauverein Birkenhain,Bebelallee,Bebelallee,0,,60,Dauerkleingarten,Hamburg-Nord,Alsterdorf,407,424,,,Allgemeines Grundvermögen ohne Erbbaurecht,05.01.2021,1.7,2021-02-16,"MULTIPOLYGON (((565904.161 5939891.298, 565872.299 5939895.431, 565864.196 5939896.909, 565857.476 5939898.495, 565850.1139999999 5939900.651, 565839.64 5939904.323, 565828.79 5939907.78, 565839.105 5939944.668, 565841.172 5939950.897, 565843.822 5939956.901, 565847.032 5939962.626, 565850.772 5939968.019, 565855.008 5939973.032, 565859.701 5939977.619, 565864.8100000001 5939981.739, 565879.923 5939979.811, 565885.675 5939981.165, 565886.981 5939988.308, 565888.546 5939999.609, 565892.673 5940024.356, 565897.313 5940050.638, 565898.228 5940057.957, 565899.098 5940061.427, 565899.218 5940062.167, 565886.532 5940064.236, 565885.934 5940118.922, 565944.1310000001 5940086.289, 565949.268 5940083.022, 565954.013 5940079.207, 565958.306 5940074.891, 565962.097 5940070.127, 565965.338 5940064.973, 565967.9889999999 5940059.493, 565970.018 5940053.753, 565971.4 5940047.824, 565972.118 5940041.66, 565972.137 5940035.455, 565971.4570000001 5940029.287, 565969.34 5940016.595, 565968.682 5940012.651, 565968.024 5940008.707, 565965.7610000001 5939995.15, 565965.183 5939992.674, 565964.295 5939990.291, 565963.1139999999 5939988.039, 565904.161 5939891.298)))"
835,DE.HH.UP_KLEINGARTENANLAGEN_829,"BUKEA, GEODATENSERVER (ArcSDE)",003567,12960623,132 Falkenberg,Legienstraße - Querkamp,Legienstraße - Querkamp,0,,60,Dauerkleingarten,Hamburg-Mitte,Horn,129,0,,,Allgemeines Grundvermögen ohne Erbbaurecht,05.01.2021,1.6,2021-02-16,"MULTIPOLYGON (((573184.047 5934597.991, 573179.709 5934584.147, 573176.841 5934574.992, 573176.116 5934572.68, 573165.041 5934576.116, 573158.045 5934552.06, 573157.0870000001 5934548.768, 573160.6949999999 5934546.767, 573161.9080000001 5934543.751, 573161.976 5934539.197, 573162.034 5934535.276, 573162.0699999999 5934532.862, 573161.921 5934531.785, 573160.562 5934521.936, 573157.899 5934513.412, 573157.1459999999 5934511.381, 573154.777 5934504.724, 573169.969 5934500.019, 573158.673 5934476.958, 573130.151 5934486.828, 573110.607 5934493.54, 573088.673 5934501.071, 573064.83 5934509.254, 573039.081 5934518.093, 573011.825 5934527.376, 573011.356 5934527.536, 572990.607 5934534.66, 572972.397 5934540.911, 572957.3050000001 5934546.092, 572942.919 5934551.032, 572939.179 5934552.316, 572925.166 5934557.126, 572939.926 5934573.797, 572987.5820000001 5934558.974, 572987.583 5934558.977, 573039.996 5934542.92, 573052.487 5934591.063, 573053.7290000001 5934590.687, 573067.197 5934586.617, 573069.352 5934593.234, 573075.745 5934612.86, 573081.395 5934631.353, 573085.702 5934630.032, 573090.421 5934628.566, 573089.523 5934626.274, 573089.553 5934626.265, 573184.047 5934597.991)))"
836,DE.HH.UP_KLEINGARTENANLAGEN_830,"BUKEA, GEODATENSERVER (ArcSDE)",003568,12960005,132 Falkenberg,Legienstraße,Legienstraße,0,,60,Dauerkleingarten,Hamburg-Mitte,Horn,129,0,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.5,2021-02-16,"MULTIPOLYGON (((573214.692 5934591.319, 573213.615 5934589.12, 573213.444 5934588.771, 573207.134 5934590.812, 573200.9080000001 5934567.585, 573194.443 5934556.569, 573187.977 5934546.033, 573184.385 5934538.61, 573179.117 5934528.313, 573168.286 5934505.472, 573165.3 5934506.346, 573163.313 5934507.24, 573161.397 5934508.198, 573161.1580000001 5934510.353, 573162.355 5934515.861, 573164.5110000001 5934524.242, 573164.75 5934530.228, 573165.469 5934536.215, 573165.948 5934539.328, 573166.906 5934543.638, 573168.3419999999 5934549.146, 573158.045 5934552.06, 573165.041 5934576.116, 573176.116 5934572.68, 573176.841 5934574.992, 573179.709 5934584.147, 573184.047 5934597.991, 573089.553 5934626.265, 573089.523 5934626.274, 573090.421 5934628.566, 573085.702 5934630.032, 573081.399 5934631.368, 573088.057 5934653.521, 573088.871 5934653.274, 573151.203 5934634.401, 573156.9669999999 5934632.656, 573168.651 5934629.12, 573185.128 5934624.131, 573189.746 5934622.732, 573196.14 5934620.796, 573201.607 5934619.141, 573217.429 5934614.352, 573211.4449999999 5934592.489, 573214.692 5934591.319)))"
837,DE.HH.UP_KLEINGARTENANLAGEN_831,"BUKEA, GEODATENSERVER (ArcSDE)",003569,14160021,101 Gartenbauverein Finkenwerder,Neßkatenweg,Neßkatenweg,0,,60,Dauerkleingarten,Hamburg-Mitte,Finkenwerder,141,106,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.8,2021-02-16,"MULTIPOLYGON (((556031.214 5932005.965, 556027.943 5932004.391, 556009.841 5932004.153, 556005.325 5932004.43, 555987.502 5932012.954, 555987.499 5932012.953, 555970.443 5932202.023, 555991.22 5932203.878, 555992.334 5932188.668, 556024.242 5932190.153, 556027.954 5932147.862, 555998.2709999999 5932146.748, 556002.3540000001 5932111.876, 556000.128 5932111.134, 556001.241 5932092.956, 556025.358 5932092.586, 556026.472 5932060.311, 556031.214 5932005.965)))"
838,DE.HH.UP_KLEINGARTENANLAGEN_832,"BUKEA, GEODATENSERVER (ArcSDE)",003570,13760007,719 Gartenverein Wilhelmsburg v. 1918,Kuckuckshorn,Kuckuckshorn,0,,60,Dauerkleingarten,Hamburg-Mitte,Wilhelmsburg,137,0,,,Flächen des Bezirks - Stadtgrün,05.01.2021,1.5,2021-02-16,"MULTIPOLYGON (((566003.507 5927225.243, 565988.039 5927184.268, 565987.3320000001 5927184.534, 565976.853 5927154.263, 565957.001 5927102.885, 565934.425 5927044.89, 565926.938 5927025.36, 565913.797 5927031.731, 565910.374 5927033.391, 565909.838 5927037.783, 565909.904 5927037.885, 565913.018 5927048.004, 565896.67 5927055.4, 565908.245 5927089.584, 565913.4080000001 5927104.832, 565935.594 5927160.88, 565950.278 5927198.461, 565961.508 5927227.3, 565973.844 5927259.901, 565980.599 5927279.285, 565989.637 5927302.63, 566021.426 5927388.543, 566021.49 5927388.725, 566049.014 5927378.37, 566059.33 5927374.488, 566059.313 5927374.445, 566037.872 5927316.585, 566026.112 5927286.418, 566016.725 5927261.075, 566003.507 5927225.243)))"
839,DE.HH.UP_KLEINGARTENANLAGEN_833,"BUKEA, GEODATENSERVER (ArcSDE)",003571,13760007,720 Steinwerder,Hauland - Brackstraße,Hauland - Brackstraße,0,0,60,Dauerkleingarten,Hamburg-Mitte,Wilhelmsburg,137,147,,,Flächen des Bezirks - Stadtgrün,05.01.2021,0.3,2021-02-16,"MULTIPOLYGON (((566238.889 5927260.814, 566216.498 5927203.586, 566176.7340000001 5927218.649, 566202.932 5927287.666, 566204.3810000001 5927291.469, 566244.696 5927275.657, 566239.275 5927261.802, 566238.889 5927260.814)))"
