,plz,note,geometry
4294,22559,22559 Hamburg,"POLYGON ((9.7301155 53.557642, 9.7330106 53.5626996, 9.7344083 53.5650184, 9.734745500000001 53.5656603, 9.734931400000001 53.5658675, 9.7350409 53.5660544, 9.735121400000001 53.5664247, 9.735272 53.5664799, 9.735107599999999 53.5668065, 9.734935200000001 53.567266, 9.7348172 53.5672607, 9.7347599 53.5673753, 9.7347804 53.5686079, 9.735101999999999 53.5698276, 9.735045599999999 53.5698749, 9.735211899999999 53.5698857, 9.7363839 53.5734083, 9.7369389 53.5752407, 9.7359881 53.5756181, 9.736051099999999 53.5762947, 9.7367442 53.5771551, 9.7369424 53.577145, 9.7375328 53.5776602, 9.738142699999999 53.5775852, 9.738644000000001 53.5775964, 9.7392749 53.5776612, 9.740046 53.5778061, 9.7400021 53.5778694, 9.740148599999999 53.5778862, 9.742521200000001 53.5779765, 9.7414153 53.5795679, 9.740353900000001 53.581273, 9.7390317 53.5811957, 9.7391328 53.5800485, 9.737443499999999 53.5798658, 9.736469700000001 53.5814318, 9.735401299999999 53.5821762, 9.7345255 53.5825419, 9.7354003 53.5834776, 9.7420767 53.5883685, 9.7422141 53.5885267, 9.742506199999999 53.5890237, 9.742823100000001 53.5893318, 9.743243700000001 53.5893417, 9.743545599999999 53.5891507, 9.744025499999999 53.5892037, 9.7443445 53.5891087, 9.7443665 53.5890017, 9.7449274 53.5889447, 9.7455873 53.5889747, 9.7455433 53.5890817, 9.745403700000001 53.589204, 9.745343 53.5893575, 9.746469899999999 53.5926233, 9.744753599999999 53.5945958, 9.744559499999999 53.5946143, 9.7441827 53.5949442, 9.7436785 53.5967953, 9.7436113 53.5968582, 9.7438333 53.5981451, 9.7451376 53.5996437, 9.7473999 53.6018318, 9.7483308 53.6038558, 9.7554345 53.6026654, 9.7556645 53.6033032, 9.7575942 53.6073547, 9.7592222 53.6110076, 9.7562614 53.6119691, 9.756311800000001 53.6120203, 9.7548636 53.6124741, 9.7537565 53.6128567, 9.7537208 53.6129128, 9.753593499999999 53.6129531, 9.754818999999999 53.6147414, 9.7549321 53.6147153, 9.7558764 53.6160517, 9.755988200000001 53.6160717, 9.756639099999999 53.615979, 9.757553 53.617057, 9.7588819 53.6212017, 9.760044799999999 53.6242838, 9.7635574 53.6249062, 9.763747800000001 53.6273888, 9.7700505 53.6276107, 9.7712678 53.6314046, 9.7714044 53.6313757, 9.7685244 53.622575, 9.7705486 53.6160312, 9.7779896 53.6139256, 9.786156399999999 53.6113785, 9.786206200000001 53.6114103, 9.788861600000001 53.6111645, 9.788894900000001 53.6107187, 9.7890786 53.6104666, 9.790314499999999 53.6092615, 9.7912245 53.6086307, 9.796261700000001 53.6103233, 9.797731300000001 53.60912, 9.7990198 53.6079284, 9.797168900000001 53.6056464, 9.7955679 53.605347, 9.7921912 53.604899, 9.7921768 53.6042918, 9.7897465 53.603978, 9.7894103 53.6048165, 9.788615 53.6063237, 9.783843299999999 53.6067525, 9.783576500000001 53.6066906, 9.7809341 53.6057646, 9.7790014 53.605692, 9.779534200000001 53.6051816, 9.779446099999999 53.6051258, 9.779613700000001 53.6047584, 9.780470599999999 53.6035736, 9.7808212 53.6034107, 9.78084 53.603327, 9.781219699999999 53.6032164, 9.781306900000001 53.6031616, 9.7788518 53.6022832, 9.7794159 53.6017092, 9.779652199999999 53.6015672, 9.779854 53.6013206, 9.779871099999999 53.6012277, 9.780064400000001 53.6010527, 9.7802354 53.6008276, 9.7808999 53.6003757, 9.7810589 53.6003199, 9.7825942 53.6008348, 9.7829023 53.6006371, 9.782796400000001 53.6004195, 9.782805099999999 53.600052, 9.7828582 53.5999926, 9.7831455 53.5998688, 9.783249400000001 53.5998735, 9.783382400000001 53.599818, 9.783644499999999 53.5995765, 9.7835397 53.5994813, 9.783526800000001 53.5993907, 9.7842623 53.5992821, 9.784000600000001 53.5989685, 9.783667100000001 53.5987188, 9.783338799999999 53.5981916, 9.783082200000001 53.5980018, 9.782965900000001 53.5978328, 9.783025800000001 53.5978226, 9.782979600000001 53.5977709, 9.7829984 53.597509, 9.782953900000001 53.597512, 9.7827573 53.5973639, 9.7826273 53.5972289, 9.7827042 53.5972035, 9.7826358 53.5970066, 9.7824682 53.5967386, 9.7822972 53.5958997, 9.782242500000001 53.5959058, 9.782138099999999 53.5950456, 9.781814900000001 53.5943711, 9.7818063 53.5943015, 9.782298900000001 53.5942772, 9.7825744 53.5942145, 9.782508 53.5937769, 9.782467 53.5937749, 9.7824434 53.5936343, 9.7826811 53.5934767, 9.7823057 53.592918, 9.7821616 53.5929059, 9.781523399999999 53.5922074, 9.7808116 53.5915441, 9.7833372 53.5910006, 9.7840694 53.5908769, 9.7850044 53.5906461, 9.7852309 53.5905061, 9.7851865 53.5904712, 9.785167899999999 53.5902537, 9.785210899999999 53.5902058, 9.7857003 53.5901184, 9.7858731 53.5899575, 9.785857200000001 53.5897443, 9.786007400000001 53.5897204, 9.7862367 53.5897801, 9.786237699999999 53.5896472, 9.7863936 53.58948, 9.7864337 53.5894852, 9.786236799999999 53.5889005, 9.7854148 53.588301, 9.7854332 53.5882412, 9.7845966 53.5878401, 9.7846943 53.5877702, 9.7838536 53.5871141, 9.784129999999999 53.5869859, 9.7834664 53.5856129, 9.783739499999999 53.5853766, 9.782239000000001 53.5842626, 9.7817144 53.5844674, 9.7813415 53.5841368, 9.7815344 53.58407, 9.781161300000001 53.5837465, 9.783760900000001 53.5826427, 9.7832922 53.5821801, 9.785686 53.5809894, 9.7816378 53.5809527, 9.781605799999999 53.5807235, 9.780857599999999 53.5806825, 9.7829353 53.5750875, 9.782401200000001 53.5741652, 9.782370800000001 53.5741627, 9.7823783 53.5742244, 9.781271200000001 53.5747484, 9.7769493 53.5762427, 9.7760072 53.5758562, 9.772853400000001 53.5707273, 9.761757100000001 53.5703828, 9.763662399999999 53.5659206, 9.763928 53.5648855, 9.7641007 53.5644256, 9.7639905 53.5639762, 9.7638231 53.5629767, 9.763310300000001 53.5631064, 9.7633478 53.5551486, 9.7416503 53.5568093, 9.7301155 53.557642))"
4342,22587,22587 Hamburg,"POLYGON ((9.761757100000001 53.5703828, 9.772853400000001 53.5707273, 9.7760072 53.5758562, 9.7769493 53.5762427, 9.781271200000001 53.5747484, 9.7823783 53.5742244, 9.782370800000001 53.5741627, 9.782493199999999 53.5741984, 9.798691099999999 53.5747727, 9.7987337 53.571575, 9.802536699999999 53.5711555, 9.8052355 53.5697427, 9.805645699999999 53.5698294, 9.8056944 53.5704075, 9.804880900000001 53.5704385, 9.8026073 53.5721664, 9.8030358 53.5723393, 9.801079 53.5741611, 9.798324600000001 53.5752757, 9.7979267 53.577096, 9.7985033 53.5771321, 9.798420699999999 53.5773428, 9.7978644 53.5773628, 9.7967651 53.5790071, 9.7967993 53.5791619, 9.797168299999999 53.5792523, 9.7977019 53.5786856, 9.798028499999999 53.5787934, 9.799087800000001 53.5775369, 9.806213100000001 53.5734214, 9.8064941 53.5734599, 9.8067172 53.5733185, 9.8068305 53.573024, 9.8066312 53.5729056, 9.806772499999999 53.5726108, 9.807225600000001 53.5726775, 9.807957699999999 53.5714852, 9.808646400000001 53.5715885, 9.808147200000001 53.5723253, 9.8079529 53.5722928, 9.8078745 53.5724234, 9.8079447 53.5725789, 9.80756 53.573124, 9.807013599999999 53.5732263, 9.8069621 53.5735614, 9.8072687 53.5736905, 9.8089662 53.5738229, 9.8090136 53.5736557, 9.809416499999999 53.5737182, 9.8094418 53.5738865, 9.809710300000001 53.5739198, 9.8098805 53.5744469, 9.810376400000001 53.5745972, 9.8111123 53.5743423, 9.812951999999999 53.5757557, 9.8135452 53.5757436, 9.8135896 53.5748266, 9.816810200000001 53.5749064, 9.8184877 53.5735283, 9.8198144 53.5709923, 9.820120299999999 53.5699043, 9.820708099999999 53.5673325, 9.82075 53.5671197, 9.820732899999999 53.5668474, 9.8205443 53.5664241, 9.820257 53.5660951, 9.8201299 53.5659852, 9.8196479 53.5657123, 9.818742800000001 53.5653704, 9.820407400000001 53.5655989, 9.8216509 53.5657021, 9.823487999999999 53.5656975, 9.8266896 53.5654962, 9.8267153 53.5655696, 9.827503200000001 53.5654994, 9.8286526 53.5655303, 9.8300512 53.5655032, 9.830377500000001 53.5655195, 9.8309587 53.565774, 9.831157899999999 53.5655697, 9.8317484 53.5658173, 9.8323044 53.5657365, 9.8324687 53.5660997, 9.8326689 53.5661127, 9.8327721 53.5664434, 9.8325672 53.5665836, 9.8329425 53.5668622, 9.8340177 53.5666632, 9.834509499999999 53.5670714, 9.834944200000001 53.5677172, 9.8348545 53.5679049, 9.8352147 53.5681991, 9.8354328 53.5681122, 9.835687999999999 53.5680655, 9.8351925 53.5668741, 9.838839 53.5662487, 9.839001 53.5664834, 9.839845 53.5663747, 9.8403647 53.5662129, 9.840051300000001 53.5645339, 9.8384351 53.5649252, 9.836319 53.5647243, 9.8360062 53.5644208, 9.8356254 53.5644544, 9.8352434 53.5641703, 9.8350697 53.5639227, 9.835815200000001 53.5637266, 9.835771299999999 53.5629683, 9.8352831 53.5630046, 9.835096800000001 53.5626869, 9.835707599999999 53.5625026, 9.835783599999999 53.5620854, 9.8369122 53.5616493, 9.836196599999999 53.5606885, 9.8376272 53.5601972, 9.8370897 53.5593455, 9.835600599999999 53.5598197, 9.835389299999999 53.5590835, 9.8366954 53.5587321, 9.8362479 53.5580187, 9.8351766 53.5583089, 9.834650399999999 53.5576939, 9.835029499999999 53.5575966, 9.835235300000001 53.5573928, 9.835418499999999 53.5565863, 9.8351673 53.556265, 9.8342645 53.556418, 9.833827299999999 53.555874, 9.835391 53.5549779, 9.834569 53.5539665, 9.8336059 53.5518449, 9.8268684 53.5533675, 9.8245056 53.5541694, 9.8230401 53.5545383, 9.8210982 53.5506905, 9.797814300000001 53.554552, 9.777598100000001 53.5571351, 9.774391899999999 53.5543254, 9.7699119 53.5546127, 9.7650407 53.5546197, 9.7633478 53.5551486, 9.763310300000001 53.5631064, 9.7638231 53.5629767, 9.7639905 53.5639762, 9.7641007 53.5644256, 9.763928 53.5648855, 9.763662399999999 53.5659206, 9.761757100000001 53.5703828))"
4349,21129,21129 Hamburg,"POLYGON ((9.763578499999999 53.5082559, 9.766540900000001 53.5141382, 9.766400900000001 53.5148132, 9.7676567 53.5173049, 9.7684637 53.5185032, 9.768982899999999 53.5198932, 9.7698009 53.5203733, 9.7705302 53.5212755, 9.7710683 53.5218512, 9.7741954 53.5209248, 9.7796802 53.5189046, 9.780283600000001 53.5194923, 9.779779400000001 53.5200641, 9.779613299999999 53.5207346, 9.778811899999999 53.5226907, 9.777319800000001 53.5227756, 9.777252799999999 53.5233768, 9.7784719 53.5235342, 9.7779817 53.5250816, 9.7776453 53.5250276, 9.775124399999999 53.5247945, 9.7745066 53.52478, 9.774302499999999 53.5252617, 9.774629900000001 53.5257056, 9.7749463 53.5260629, 9.774984999999999 53.5261582, 9.774469399999999 53.5264576, 9.774218400000001 53.5269482, 9.774286999999999 53.5273296, 9.7741661 53.5275404, 9.773705100000001 53.5277354, 9.773523000000001 53.527956, 9.773177499999999 53.5279869, 9.7725632 53.5281156, 9.7716479 53.5284139, 9.770635 53.5289698, 9.7702241 53.5292407, 9.7698734 53.5295292, 9.7701808 53.5296603, 9.770417200000001 53.5299794, 9.770489599999999 53.5300159, 9.770470899999999 53.5300974, 9.770634599999999 53.5303957, 9.7705647 53.5304937, 9.7707943 53.5307728, 9.770952400000001 53.5309113, 9.771156 53.5309874, 9.771253 53.5310944, 9.770989999999999 53.5314493, 9.770434099999999 53.5327162, 9.769854199999999 53.53375, 9.769375200000001 53.5336891, 9.7655587 53.5410972, 9.7670227 53.5409298, 9.767091300000001 53.5420697, 9.768579000000001 53.5422457, 9.769232300000001 53.5422505, 9.7697992 53.5424693, 9.769918499999999 53.5423373, 9.7708865 53.5426746, 9.771331200000001 53.5429707, 9.772316699999999 53.543523, 9.7731055 53.5477835, 9.7736614 53.5503892, 9.774391899999999 53.5543254, 9.777598100000001 53.5571351, 9.797814300000001 53.554552, 9.8405653 53.5474533, 9.8513044 53.5459366, 9.8642564 53.5442254, 9.8826429 53.5421175, 9.887771499999999 53.5419022, 9.893967999999999 53.5417364, 9.913101299999999 53.5415406, 9.9216382 53.5415333, 9.929860700000001 53.5418574, 9.9298603 53.5397738, 9.9312668 53.5392781, 9.933038399999999 53.5384464, 9.9343167 53.5377011, 9.935465499999999 53.5368671, 9.9364487 53.5359774, 9.937033400000001 53.5353509, 9.9374763 53.5347771, 9.937954599999999 53.5340927, 9.9385712 53.5329826, 9.939026500000001 53.531813, 9.9391593 53.5309232, 9.9392125 53.5296595, 9.939128999999999 53.528475, 9.938814799999999 53.5217156, 9.938823599999999 53.5200853, 9.939195700000001 53.5167671, 9.939917100000001 53.5113936, 9.9401861 53.5086052, 9.940636700000001 53.5059604, 9.941071300000001 53.5048469, 9.941201700000001 53.5043044, 9.941715 53.5033378, 9.9426168 53.5021862, 9.941414099999999 53.5015959, 9.9371451 53.4993833, 9.9280183 53.4991468, 9.9276693 53.499112, 9.926432399999999 53.4987915, 9.925486899999999 53.4984549, 9.9253581 53.498467, 9.924348200000001 53.4989185, 9.9240127 53.4989931, 9.922243699999999 53.4996039, 9.9218574 53.4996704, 9.920833999999999 53.499743, 9.9150106 53.4999992, 9.9148692 53.5000091, 9.914541 53.5001217, 9.913767 53.5000989, 9.9134075 53.5001973, 9.912618200000001 53.5003088, 9.9121998 53.5002771, 9.9112145 53.5002794, 9.909844 53.5003436, 9.9091387 53.5004595, 9.908219300000001 53.5005534, 9.907166699999999 53.5007951, 9.906724799999999 53.5008645, 9.906339300000001 53.5010915, 9.905919900000001 53.5012101, 9.905687800000001 53.5012396, 9.9051282 53.5011832, 9.904351500000001 53.5013074, 9.9040093 53.5014707, 9.9038985 53.5014806, 9.903810699999999 53.5014586, 9.903499500000001 53.5008812, 9.903374899999999 53.5007576, 9.9032374 53.5007499, 9.9016717 53.5009871, 9.8983539 53.5017915, 9.898273700000001 53.5018801, 9.898348 53.502346, 9.897903400000001 53.5023909, 9.8979129 53.5027569, 9.897834599999999 53.5027814, 9.8895432 53.5038434, 9.8894468 53.503868, 9.8893912 53.5039179, 9.8891995 53.5045512, 9.8891355 53.5045818, 9.888561599999999 53.5045299, 9.887852000000001 53.504391, 9.8864316 53.504208, 9.8845949 53.5044863, 9.8829824 53.5049324, 9.8824004 53.5051588, 9.8817925 53.5054623, 9.881331299999999 53.5057638, 9.880784500000001 53.5060608, 9.880488700000001 53.5061566, 9.880363300000001 53.5054784, 9.8803731 53.5052157, 9.880409500000001 53.5049501, 9.8806271 53.504356, 9.881086099999999 53.5036727, 9.8819535 53.5027491, 9.882876700000001 53.5019318, 9.8838271 53.5015518, 9.8841582 53.5013586, 9.884793699999999 53.5007243, 9.8851931 53.5005168, 9.885933400000001 53.5003109, 9.8863629 53.5000689, 9.8868274 53.4999255, 9.8874686 53.4996101, 9.8875075 53.4995605, 9.8875023 53.4991613, 9.8872024 53.4991614, 9.8871058 53.4988945, 9.886779799999999 53.4986948, 9.8862983 53.4981933, 9.8857362 53.4978849, 9.885429 53.4976633, 9.8849628 53.4976218, 9.8847013 53.4973394, 9.884687400000001 53.4970784, 9.884847300000001 53.4969777, 9.8853005 53.4967988, 9.885435299999999 53.4966618, 9.884945099999999 53.4964184, 9.8848038 53.496124, 9.8844046 53.4957812, 9.8842573 53.4956971, 9.883842 53.4956873, 9.8836137 53.4956439, 9.8835677 53.4955944, 9.8835736 53.4955088, 9.883706699999999 53.4953672, 9.883730099999999 53.4952814, 9.883710300000001 53.4952267, 9.883425799999999 53.4951604, 9.8825158 53.4950476, 9.8823586 53.4949547, 9.8822802 53.4947624, 9.8822084 53.4946836, 9.8821189 53.4946507, 9.881937499999999 53.4946716, 9.881204200000001 53.494954, 9.880673699999999 53.4949783, 9.8798438 53.4952056, 9.879085099999999 53.4954828, 9.8782508 53.4955824, 9.878053 53.4956498, 9.877634799999999 53.4959489, 9.877641799999999 53.4961756, 9.877582500000001 53.4962333, 9.877379100000001 53.4962671, 9.8770565 53.4960306, 9.876973899999999 53.4958575, 9.8769946 53.4957089, 9.876899099999999 53.4956561, 9.876016 53.4954813, 9.8742222 53.4954753, 9.874003200000001 53.4954549, 9.8737096 53.4953623, 9.872598 53.4953039, 9.8722248 53.4953513, 9.871992799999999 53.4954491, 9.8717735 53.495494, 9.8709828 53.4954141, 9.8703859 53.4952879, 9.868684500000001 53.4950326, 9.8671293 53.4947366, 9.866573900000001 53.4946808, 9.8660572 53.4945779, 9.864420300000001 53.4943601, 9.863208800000001 53.4941409, 9.862337200000001 53.4939418, 9.861364399999999 53.4938002, 9.858569900000001 53.4932536, 9.8568424 53.4928312, 9.8560704 53.4925892, 9.8559348 53.4925693, 9.8554616 53.4926304, 9.855181999999999 53.4925812, 9.8550793 53.492611, 9.8550311 53.4926866, 9.855010500000001 53.4927801, 9.855094100000001 53.4930545, 9.8548846 53.4934606, 9.854506199999999 53.4939009, 9.8544035 53.4939585, 9.8513172 53.4941559, 9.8504673 53.4942653, 9.848523999999999 53.4944478, 9.8477847 53.4944895, 9.8473579 53.4945533, 9.8463364 53.4945531, 9.844548100000001 53.4946674, 9.843396500000001 53.4948317, 9.8424289 53.4948518, 9.8420825 53.4949056, 9.8416668 53.4948695, 9.841055300000001 53.4949024, 9.8407079 53.4948675, 9.8400298 53.4948978, 9.8395815 53.4948609, 9.8385189 53.4948746, 9.83825 53.4949105, 9.837260000000001 53.4952019, 9.8367728 53.49528, 9.835922999999999 53.4955046, 9.8339956 53.4958804, 9.8298945 53.4958384, 9.829550100000001 53.495771, 9.8286187 53.4958016, 9.8273096 53.4957218, 9.8264283 53.4957884, 9.8244262 53.4956773, 9.823923300000001 53.4955923, 9.823316699999999 53.495372, 9.822293699999999 53.4951101, 9.8207033 53.4945741, 9.820382800000001 53.4943974, 9.8201182 53.4943406, 9.8197454 53.4943212, 9.8192992 53.4940857, 9.818546899999999 53.4938681, 9.818387299999999 53.4937925, 9.818357900000001 53.4936957, 9.8182718 53.4936176, 9.8177074 53.4935867, 9.816156400000001 53.4932148, 9.815485199999999 53.4929067, 9.8150133 53.4927661, 9.8147313 53.4927645, 9.8095607 53.4938059, 9.8091068 53.493945, 9.808900299999999 53.4939527, 9.807810399999999 53.4938621, 9.806754099999999 53.4936935, 9.805722299999999 53.4936407, 9.804963900000001 53.4937672, 9.803811 53.493839, 9.803164799999999 53.4938157, 9.802123 53.4938795, 9.801317299999999 53.4936855, 9.8005757 53.4935607, 9.799910799999999 53.4935046, 9.7987377 53.4934954, 9.797915100000001 53.4936862, 9.7974461 53.493716, 9.7947185 53.4941355, 9.792795999999999 53.4945276, 9.7923236 53.4943581, 9.790975400000001 53.494177, 9.7903609 53.4939616, 9.789933700000001 53.4938821, 9.789154099999999 53.4936445, 9.787938 53.4933956, 9.7860397 53.4930695, 9.785365000000001 53.4929819, 9.781995200000001 53.4923185, 9.7831384 53.4945887, 9.782914999999999 53.4945556, 9.783328300000001 53.4961303, 9.783637799999999 53.4974716, 9.7837893 53.4979636, 9.784633299999999 53.5000094, 9.784301599999999 53.5000514, 9.7830846 53.5000687, 9.7827935 53.5004753, 9.7825714 53.5002042, 9.782379600000001 53.5000816, 9.7816837 53.4999819, 9.781604700000001 53.5000429, 9.7811301 53.4998113, 9.781167 53.5003271, 9.7812982 53.5006044, 9.781155099999999 53.50075, 9.781471700000001 53.5014887, 9.7814318 53.5015497, 9.7811758 53.5015997, 9.7794431 53.5017287, 9.7788222 53.5019047, 9.777738299999999 53.5023016, 9.7774494 53.5025726, 9.7768774 53.5027776, 9.7763495 53.5030645, 9.775828600000001 53.5032515, 9.7739069 53.5036934, 9.772062200000001 53.5043004, 9.771116299999999 53.5047583, 9.770255499999999 53.5049903, 9.7698745 53.5050363, 9.769674500000001 53.5051433, 9.7688507 53.5053032, 9.768221799999999 53.5058872, 9.7675789 53.5062071, 9.767235899999999 53.5064401, 9.7671139 53.5066311, 9.765799100000001 53.507184, 9.7650372 53.507344, 9.7644723 53.507615, 9.7640064 53.5080429, 9.763578499999999 53.5082559))"
